Date,Open,High,Low,Close
2011-01-03,,,,17.610001
2011-01-04,,,,17.379999
2011-01-05,,,,17.020000
2011-01-06,,,,17.400000
2011-01-07,,,,17.139999
2011-01-10,,,,17.540001
2011-01-11,,,,16.889999
2011-01-12,,,,16.240000
2011-01-13,,,,16.389999
2011-01-14,,,,15.460000
2011-01-18,,,,15.870000
2011-01-19,,,,17.309999
2011-01-20,,,,17.990000
2011-01-21,,,,18.469999
2011-01-24,,,,17.650000
2011-01-25,,,,17.590000
2011-01-26,,,,16.639999
2011-01-27,,,,16.150000
2011-01-28,,,,20.040001
2011-01-31,,,,19.530001
2011-02-01,,,,17.629999
2011-02-02,,,,17.299999
2011-02-03,,,,16.690001
2011-02-04,,,,15.930000
2011-02-07,,,,16.280001
2011-02-08,,,,15.810000
2011-02-09,,,,15.870000
2011-02-10,,,,16.090000
2011-02-11,,,,15.690000
2011-02-14,,,,15.950000
2011-02-15,,,,16.370001
2011-02-16,,,,16.719999
2011-02-17,,,,16.590000
2011-02-18,,,,16.430000
2011-02-22,,,,20.799999
2011-02-23,,,,22.129999
2011-02-24,,,,21.320000
2011-02-25,,,,19.219999
2011-02-28,,,,18.350000
2011-03-01,,,,21.010000
2011-03-02,,,,20.700001
2011-03-03,,,,18.600000
2011-03-04,,,,19.059999
2011-03-07,,,,20.660000
2011-03-08,,,,19.820000
2011-03-09,,,,20.219999
2011-03-10,,,,21.879999
2011-03-11,,,,20.080000
2011-03-14,,,,21.129999
2011-03-15,,,,24.320000
2011-03-16,,,,29.400000
2011-03-17,,,,26.370001
2011-03-18,,,,24.440001
2011-03-21,,,,20.610001
2011-03-22,,,,20.209999
2011-03-23,,,,19.170000
2011-03-24,,,,18.000000
2011-03-25,,,,17.910000
2011-03-28,,,,19.440001
2011-03-29,,,,18.160000
2011-03-30,,,,17.709999
2011-03-31,,,,17.740000
2011-04-01,,,,17.400000
2011-04-04,,,,17.500000
2011-04-05,,,,17.250000
2011-04-06,,,,16.900000
2011-04-07,,,,17.110001
2011-04-08,,,,17.870001
2011-04-11,,,,16.590000
2011-04-12,,,,17.090000
2011-04-13,,,,16.920000
2011-04-14,,,,16.270000
2011-04-15,,,,15.320000
2011-04-18,,,,16.959999
2011-04-19,,,,15.830000
2011-04-20,,,,15.070000
2011-04-21,,,,14.690000
2011-04-25,,,,15.770000
2011-04-26,,,,15.620000
2011-04-27,,,,15.350000
2011-04-28,,,,14.620000
2011-04-29,,,,14.750000
2011-05-02,,,,15.990000
2011-05-03,,,,16.700001
2011-05-04,,,,17.080000
2011-05-05,,,,18.200001
2011-05-06,,,,18.400000
2011-05-09,,,,17.160000
2011-05-10,,,,15.910000
2011-05-11,,,,16.950001
2011-05-12,,,,16.030001
2011-05-13,,,,17.070000
2011-05-16,,,,18.240000
2011-05-17,,,,17.549999
2011-05-18,,,,16.230000
2011-05-19,,,,15.520000
2011-05-20,,,,17.430000
2011-05-23,,,,18.270000
2011-05-24,,,,17.820000
2011-05-25,,,,17.070000
2011-05-26,,,,16.090000
2011-05-27,,,,15.980000
2011-05-31,,,,15.450000
2011-06-01,,,,18.299999
2011-06-02,,,,18.090000
2011-06-03,,,,17.950001
2011-06-06,,,,18.490000
2011-06-07,,,,18.070000
2011-06-08,,,,18.790001
2011-06-09,,,,17.770000
2011-06-10,,,,18.860001
2011-06-13,,,,19.610001
2011-06-14,,,,18.260000
2011-06-15,,,,21.320000
2011-06-16,,,,22.730000
2011-06-17,,,,21.850000
2011-06-20,,,,19.990000
2011-06-21,,,,18.860001
2011-06-22,,,,18.520000
2011-06-23,,,,19.290001
2011-06-24,,,,21.100000
2011-06-27,,,,20.559999
2011-06-28,,,,19.170000
2011-06-29,,,,17.270000
2011-06-30,,,,16.520000
2011-07-01,,,,15.870000
2011-07-05,,,,16.059999
2011-07-06,,,,16.340000
2011-07-07,,,,15.950000
2011-07-08,,,,15.950000
2011-07-11,,,,18.389999
2011-07-12,,,,19.870001
2011-07-13,,,,19.910000
2011-07-14,,,,20.799999
2011-07-15,,,,19.530001
2011-07-18,,,,20.950001
2011-07-19,,,,19.209999
2011-07-20,,,,19.090000
2011-07-21,,,,17.559999
2011-07-22,,,,17.520000
2011-07-25,,,,19.350000
2011-07-26,,,,20.230000
2011-07-27,,,,22.980000
2011-07-28,,,,23.740000
2011-07-29,,,,25.250000
2011-08-01,,,,23.660000
2011-08-02,,,,24.790001
2011-08-03,,,,23.379999
2011-08-04,,,,31.660000
2011-08-05,,,,32.000000
2011-08-08,,,,48.000000
2011-08-09,,,,35.060001
2011-08-10,,,,42.990002
2011-08-11,,,,39.000000
2011-08-12,,,,36.360001
2011-08-15,,,,31.870001
2011-08-16,,,,32.849998
2011-08-17,,,,31.580000
2011-08-18,,,,42.669998
2011-08-19,,,,43.049999
2011-08-22,,,,42.439999
2011-08-23,,,,36.270000
2011-08-24,,,,35.900002
2011-08-25,,,,39.759998
2011-08-26,,,,35.590000
2011-08-29,,,,32.279999
2011-08-30,,,,32.889999
2011-08-31,,,,31.620001
