Date,Open,High,Low,Put Call
2011-01-03,,,,0.4
2011-01-04,,,,0.43
2011-01-05,,,,0.48
2011-01-06,,,,0.46
2011-01-07,,,,0.5
2011-01-10,,,,0.54
2011-01-11,,,,0.53
2011-01-12,,,,0.45
2011-01-13,,,,0.5
2011-01-14,,,,0.37
2011-01-18,,,,0.44
2011-01-19,,,,0.47
2011-01-20,,,,0.67
2011-01-21,,,,0.55
2011-01-24,,,,0.51
2011-01-25,,,,0.63
2011-01-26,,,,0.58
2011-01-27,,,,0.56
2011-01-28,,,,0.65
2011-01-31,,,,0.61
2011-02-01,,,,0.49
2011-02-02,,,,0.45
2011-02-03,,,,0.58
2011-02-04,,,,0.64
2011-02-07,,,,0.46
2011-02-08,,,,0.52
2011-02-09,,,,0.52
2011-02-10,,,,0.55
2011-02-11,,,,0.51
2011-02-14,,,,0.51
2011-02-15,,,,0.53
2011-02-16,,,,0.58
2011-02-17,,,,0.5
2011-02-18,,,,0.61
2011-02-22,,,,0.68
2011-02-23,,,,0.72
2011-02-24,,,,0.71
2011-02-25,,,,0.49
2011-02-28,,,,0.53
2011-03-01,,,,0.64
2011-03-02,,,,0.55
2011-03-03,,,,0.55
2011-03-04,,,,0.57
2011-03-07,,,,0.64
2011-03-08,,,,0.54
2011-03-09,,,,0.6
2011-03-10,,,,0.73
2011-03-11,,,,0.62
2011-03-14,,,,0.67
2011-03-15,,,,0.71
2011-03-16,,,,0.79
2011-03-17,,,,0.71
2011-03-18,,,,0.67
2011-03-21,,,,0.49
2011-03-22,,,,0.55
2011-03-23,,,,0.59
2011-03-24,,,,0.55
2011-03-25,,,,0.53
2011-03-28,,,,0.56
2011-03-29,,,,0.52
2011-03-30,,,,0.54
2011-03-31,,,,0.56
2011-04-01,,,,0.51
2011-04-04,,,,0.59
2011-04-05,,,,0.56
2011-04-06,,,,0.55
2011-04-07,,,,0.53
2011-04-08,,,,0.58
2011-04-11,,,,0.62
2011-04-12,,,,0.58
2011-04-13,,,,0.65
2011-04-14,,,,0.69
2011-04-15,,,,0.63
2011-04-18,,,,0.6
2011-04-19,,,,0.64
2011-04-20,,,,0.51
2011-04-21,,,,0.62
2011-04-25,,,,0.57
2011-04-26,,,,0.57
2011-04-27,,,,0.59
2011-04-28,,,,0.54
2011-04-29,,,,0.59
2011-05-02,,,,0.5
2011-05-03,,,,0.61
2011-05-04,,,,0.72
2011-05-05,,,,0.65
2011-05-06,,,,0.62
2011-05-09,,,,0.63
2011-05-10,,,,0.58
2011-05-11,,,,0.67
2011-05-12,,,,0.67
2011-05-13,,,,0.73
2011-05-16,,,,0.61
2011-05-17,,,,0.75
2011-05-18,,,,0.68
2011-05-19,,,,0.7
2011-05-20,,,,0.75
2011-05-23,,,,0.69
2011-05-24,,,,0.61
2011-05-25,,,,0.51
2011-05-26,,,,0.6
2011-05-27,,,,0.51
2011-05-31,,,,0.54
2011-06-01,,,,0.76
2011-06-02,,,,0.71
2011-06-03,,,,0.71
2011-06-06,,,,0.8
2011-06-07,,,,0.74
2011-06-08,,,,0.95
2011-06-09,,,,0.77
2011-06-10,,,,1.01
2011-06-13,,,,0.73
2011-06-14,,,,0.65
2011-06-15,,,,1.09
2011-06-16,,,,1.03
2011-06-17,,,,1.09
2011-06-20,,,,0.57
2011-06-21,,,,0.59
2011-06-22,,,,0.53
2011-06-23,,,,0.65
2011-06-24,,,,0.7
2011-06-27,,,,0.62
2011-06-28,,,,0.59
2011-06-29,,,,0.56
2011-06-30,,,,0.54
2011-07-01,,,,0.55
2011-07-05,,,,0.64
2011-07-06,,,,0.71
2011-07-07,,,,0.56
2011-07-08,,,,0.58
2011-07-11,,,,0.74
2011-07-12,,,,0.67
2011-07-13,,,,0.67
2011-07-14,,,,0.78
2011-07-15,,,,0.64
2011-07-18,,,,0.68
2011-07-19,,,,0.51
2011-07-20,,,,0.61
2011-07-21,,,,0.56
2011-07-22,,,,0.6
2011-07-25,,,,0.6
