Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2020-09-17,0.320197,0.275862,0.403941,1.0,0.27818774999999996,-0.08374399999999999,0.3792811798727599,0.4800171600604288,0.27854519968509095,3428.92,3310.47,3385.49
2020-09-10,0.237113,0.278351,0.484536,1.0,0.2707335,-0.24742300000000003,0.3792811798727599,0.4800171600604288,0.27854519968509095,3588.11,3329.27,3398.96
2020-09-03,0.308017,0.274262,0.417722,1.000001,0.279640625,-0.109705,0.3792811798727599,0.4800171600604288,0.27854519968509095,3588.11,3444.15,3580.84
2020-08-27,0.320755,0.283019,0.396226,1.0,0.2750825,-0.07547100000000001,0.3792811798727599,0.4800171600604288,0.27854519968509095,3481.07,3354.69,3478.73
2020-08-20,0.303887,0.272085,0.424028,1.0,0.262678,-0.120141,0.3792811798727599,0.4800171600604288,0.27854519968509095,3399.54,3355.46,3374.85
2020-08-13,0.300366,0.278388,0.421245,0.999999,0.25486450000000005,-0.12087899999999996,0.3792811798727599,0.4800171600604288,0.27854519968509095,3387.89,3317.37,3380.35
2020-08-06,0.232877,0.291096,0.476027,1.0,0.24777762500000003,-0.24314999999999998,0.3792811798727599,0.4800171600604288,0.27854519968509095,3330.77,3204.13,3327.77
2020-07-30,0.20229,0.312977,0.484733,1.0,0.261513875,-0.282443,0.3792811798727599,0.4800171600604288,0.27854519968509095,3279.99,3200.05,3258.44
2020-07-23,0.260563,0.271127,0.46831,1.0,0.279417,-0.20774700000000001,0.3792811798727599,0.4800171600604288,0.27854519968509095,3279.32,3198.59,3276.02
2020-07-16,0.30837,0.237885,0.453744,0.9999989999999999,0.28818525,-0.145374,0.3792811798727599,0.4800171600604288,0.27854519968509095,3238.28,3115.7,3226.56
2020-07-09,0.271552,0.301724,0.426724,1.0,0.28589437500000003,-0.15517199999999998,0.3792811798727599,0.4800171600604288,0.27854519968509095,3184.15,3047.83,3169.94
2020-07-02,0.221519,0.31962,0.458861,1.0,0.28109149999999994,-0.23734200000000003,0.3792811798727599,0.4800171600604288,0.27854519968509095,3128.44,2999.74,3115.86
2020-06-25,0.241379,0.269592,0.489028,0.9999990000000001,0.28298737500000004,-0.247649,0.3792811798727599,0.4800171600604288,0.27854519968509095,3155.53,3032.13,3050.33
2020-06-18,0.243671,0.278481,0.477848,1.0,0.29106125,-0.234177,0.3792811798727599,0.4800171600604288,0.27854519968509095,3223.27,2965.66,3113.49
2020-06-11,0.342767,0.27673,0.380503,1.0,0.291681625,-0.03773599999999999,0.3792811798727599,0.4800171600604288,0.27854519968509095,3223.27,3090.41,3190.14
2020-06-04,0.345515,0.265781,0.388704,1.0,0.29241087499999996,-0.04318899999999998,0.3792811798727599,0.4800171600604288,0.27854519968509095,3130.94,2969.75,3122.87
2020-05-28,0.330709,0.248031,0.42126,1.0,0.29497075,-0.09055100000000005,0.3792811798727599,0.4800171600604288,0.27854519968509095,3036.25,2922.35,3036.13
2020-05-21,0.290043,0.25974,0.450216,0.9999990000000001,0.296431,-0.160173,0.3792811798727599,0.4800171600604288,0.27854519968509095,2980.29,2766.64,2971.61
2020-05-14,0.233129,0.260736,0.506135,1.0,0.301302625,-0.27300599999999997,0.3792811798727599,0.4800171600604288,0.27854519968509095,2945.82,2793.15,2820.0
2020-05-07,0.236686,0.236686,0.526627,0.999999,0.315100375,-0.28994099999999995,0.3792811798727599,0.4800171600604288,0.27854519968509095,2954.86,2797.85,2848.42
2020-04-30,0.30597,0.253731,0.440299,1.0,0.322687875,-0.13432899999999998,0.3792811798727599,0.4800171600604288,0.27854519968509095,2954.86,2775.95,2939.51
2020-04-23,0.248634,0.251366,0.5,1.0,0.332865,-0.251366,0.3792811798727599,0.4800171600604288,0.27854519968509095,2879.22,2727.1,2799.31
